"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"BIO Kawa ziarnista Bazzara BIOARABICA BRAZIL 250g","Średnio palona brazylijska arabika przeznaczona do ciśnieniowych metod parzenia. Bazzara Bioarabica Brazil posiada słodki smak z wyczuwalną nuta owoców cytrusowych, kakao i brązowego cukru.",49.99,"BAZZARA",5,6," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Owoce cytrusowe Kakao Cukier trzcinowy",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",12.2474487139159
"BIO Kawa ziarnista Bazzara BIOARABICA COLOMBIA 250g","Średnio palona kolumbijska arabika przeznaczona do ciśnieniowych metod parzenia. Bazzara Bioarabica Colombia posiada słodki smak z wyraźną nuta miodu i egzotycznych owoców.",49.99,"BAZZARA",5,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Miód Owoce",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",8.66025403784439
"BIO Kawa ziarnista Bazzara BIOARABICA ETHIOPIA 250g","Średnio palona arabika z Etiopii, która jest przeznaczona do ciśnieniowych metod parzenia. Bazzara Bioarabica Ethiopia posiada subtelnie słodki smak z nutami kwiatów, czerwonych owoców, przypraw i kakao.",49.99,"BAZZARA",5,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Czerwone owoce Kwiaty Kakao Przyprawy",0.6,0.2,0.2,1," Etiopia"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",8.66025403784439
"BIO Kawa ziarnista Bazzara BIOARABICA GUATEMALA 250g","Średnio palona arabika z Gwatemali przeznaczona do ciśnieniowych metod parzenia. Bazzara Bioarabica Guatemala posiada subtelnie słodki smak z nutami kwiatów, dojrzałych owoców oraz kakao.",49.99,"BAZZARA",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Kwiaty Owoce Kakao",0.6,0.2,0.2,1," Gwatemala"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",7.07106781186548
"BIO Kawa ziarnista Bazzara BIOARABICA MEXICO 250g","Średnio palona meksykańska arabika przeznaczona do ciśnieniowych metod parzenia. Bazzara Bioarabica Mexico posiada intensywny smak z lekką pikanterią.",49.99,"BAZZARA",4.67,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Goździki Prażone orzechy Przyprawy",1,0.6,0.2,0.6," Meksyk"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",8.08867727134666
"BIO Kawa ziarnista Bazzara BIOARABICA PERU 250g","Średnio palona peruwiańska arabika przeznaczona do ciśnieniowych metod parzenia. Bazzara BIOARABICA Peru posiada słodki smak z nutami miodu, kolendry i owoców.",49.99,"BAZZARA",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Miód Kolendra Owoce",0.6,0.2,0.2,1," Peru"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",7.07106781186548
"BIO Kawa ziarnista Bazzara BIOARABICA SUMATRA  250g","Średnio palona indonezyjska arabika przeznaczona do ciśnieniowych metod parzenia. Bazzara Bioarabica Sumatra posiada intensywny smak z nutami orzechów, przypraw i drzewa sandałowego.",49.99,"BAZZARA",5,3," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Drzewo sandałowe Orzechy Przyprawy",0.6,0.6,0.2,0.6," Indonezja"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",8.66025403784439
"Kawa ziarnista Bazzara Deca Aqua 250g","Średnio palona arabika przeznaczona do ciśnieniowych metod parzenia. Bazzara Deca Aqua to kawa bezkofeinowa o delikatnym smaku z nutami dojrzałych owoców i kakao.",49.99,"BAZZARA",5,2," 100% Arabika"," Średni"," Bezkofeinowa"," Kawa ziarnista"," Włochy"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Owoce Kakao",0.6,0.2,0.2,1,NA," Blend / Mieszanki"," Espresso Kawa czarna",NA,250,0.19996,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Figa Coffee Salwador El Clarinero Washed 250g","Jasno palona arabika jakości Specialty z Salwadoru, która jest przeznaczona do alternatywnych metod parzenia. Figa Salwador El Clarinero posiada słodki smak z nutami śliwki, pomarańczy i rodzynek.",55,"FIGA COFFEE",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Śliwka Pomarańcze Rodzynki",0.6,0.2,0.2,1," Salwador"," Single / Jednorodne"," Kawa czarna",NA,250,0.22,"Luxury (> 0.2)",5
"Kawa ziarnista Figa Coffee Indonezja Pegasing Avatara Natural 250g","Jasno palona indonezyjska arabika jakości Speciality przeznaczona do przelewowych metod parzenia. Figa Indonezja Pegasing Avatara posiada przyjemny słodki smak z wyczuwalną nutą owoców i ciemnej czekolady.",73,"FIGA COFFEE",5,2," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Wiśnia Dżem Kiwi Ciemna czekolada",0.6,0.2,0.6,1," Indonezja"," Single / Jednorodne"," Kawa czarna",NA,250,0.292,"Luxury (> 0.2)",7.07106781186548
"Kawa ziarnista Roastains Honduras Hazel Strike ESPRESSO 1kg","Średnio palona arabika jakości Specialty z Hondurasu, która jest przeznaczona do ciśnieniowych metod parzenia. Roastains Honduras Hazel Strike posiada słodki smak z wyczuwalną nutą orzechów laskowych, kakao i wanilii.",163,"ROASTAINS",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Kakao Wanilia",0.6,0.2,0.2,1," Honduras"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",1000,0.163,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Roastains Honduras Hazel Strike ESPRESSO 250g","Średnio palona arabika jakości Specialty z Hondurasu, która jest przeznaczona do ciśnieniowych metod parzenia. Roastains Honduras Hazel Strike posiada słodki smak z wyczuwalną nutą orzechów laskowych, kakao i wanilii.",52,"ROASTAINS",5,4," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Kakao Wanilia",0.6,0.2,0.2,1," Honduras"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",250,0.208,"Luxury (> 0.2)",10
"ZESTAW Kawa ziarnista La Brasiliana Marfisa 1kg + Etno Cafe Italian Roast 1kg","Zestaw składający się ze słynnej włoskiej mieszanki La Brasiliana Marfisa i kawy z polskiej palarni Etno Cafe. Kawy znajdujące się w zestawie doskonale sprawdzą się do przygotowania espresso i kaw mlecznych.",188.78,"LA BRASILIANA",5,29,NA,NA,NA," Kawa ziarnista"," Włochy Polska"," Do ekspresu automatycznego Do ekspresu kolbowego Do biura"," 2000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny",NA,NA,NA,NA,NA,NA,NA," Blend / Mieszanki"," Espresso Kawa czarna"," Nie",2000,0.09439,"Mid-range (0.05 - 0.1)",26.9258240356725
"ZESTAW kaw ziarnistych Mott Coffee 5x250g","Zestaw 5 kaw ziarnistych od Mott Coffee, które doskonale sprawdzą się do ciśnieniowych i przelewowych metod parzenia. Kupując zestaw, możesz wypróbować najlepszych ziaren Kostaryki w różnych odsłonach.",174.75,"MOTT COFFEE",4.85,13," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 1250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny",NA,NA,NA,NA,NA,NA," Kostaryka"," Single / Jednorodne"," Espresso Kawa czarna"," Tak",1250,0.1398,"Premium (0.1 - 0.2)",17.4869236860003
"Kawa ziarnista Salvator & Coffee Space Honduras Sol Naciente ESPRESSO 250g","Pochodząca z Hondurasu arabika Single Origin, która jest wypalona pod espresso. Salvator & Coffee Space Honduras Sol Naciente posiada słodki smak z wyczuwalną nutą rumu, czerwonego jabłka i kompotu z owoców leśnych.",65,"PALE COFFEE ROASTERS",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Rum Czerwone jabłko Owoce leśne",0.6,0.2,0.2,1," Honduras"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.26,"Luxury (> 0.2)",0
"Kawa ziarnista Kawuszka Misz Masz 250g","Mieszanka ziaren arabiki i robusty w proporcji 70/30, która jest przeznaczona do ekspresów ciśnieniowych. Kawuszka Kawowy Misz Masz posiada lekko gorzki smak przypominający czekoladę deserową.",34.99,"KAWUSZKA",5,1," 70% Arabika, 30% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada",0.6,0.6,0.2,0.6," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna"," Nie",250,0.13996,"Premium (0.1 - 0.2)",5
"Kawa ziarnista Trismoka Caffe Crema 250g","Wysokiej jakości włoska kawa ziarnista będąca mieszanką ziaren arabiki i robusty w proporcjach 30/70. Trismoka Caffe Crema posiada intensywny smak, w którym wyczujemy kakao i gorzką czekoladę. Kawa ta posiada wysoką zawartość kofeiny.",20.15,"TRISMOKA",4.89,9," 30% Arabika, 70% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Włochy"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do gastronomii Do kawiarni"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Kakao Gorzka czekolada",1,1,0.2,0.2," Ameryka Południowa Afryka Azja"," Blend / Mieszanki"," Espresso Cappuccino Latte",NA,250,0.0806,"Mid-range (0.05 - 0.1)",14.67
"Kawa ziarnista Trismoka Caffe Italia 250g","Trismoka Italia to mieszanka ziaren arabiki i robusty w proporcjach 50/50, która sprawdzi się w formie intensywnego espresso oraz kawy z mlekiem takiej jak cappuccino czy latte macchiato. Trismoka Italia posiada intensywny, mocny smak z nutą czekolady.",20.87,"TRISMOKA",5,2," 50% Arabika, 50% Robusta"," Średni"," Średnia"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Czekolada",1,1,NA,0.2," Brazylia Kolumbia Kongo Gwatemala Indie"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte",NA,250,0.08348,"Mid-range (0.05 - 0.1)",7.07106781186548
"Kawa ziarnista Trismoka Caffe Brasil 250g","Trismoka Brasil to mieszanka ziaren arabiki (70%) i robusty (30%), która posiada niską zawartość kofeiny i rewelacyjnie sprawdzi się do przygotowania włoskich specjałów kawowych takich jak espresso, cappuccino czy latte macchiato.",22.31,"TRISMOKA",4.67,3," 70% Arabika, 30% Robusta"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Orzechy",1,1,NA,0.2," Brazylia Gwatemala Kolumbia Kongo Indie"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte",NA,250,0.08924,"Mid-range (0.05 - 0.1)",8.08867727134666
"Kawa ziarnista Trismoka Caffe Degustazione 250g","Kawa Trismoka Degustazione to wysokiej jakości włoska mieszanka ziaren arabiki (80%) i robusty (20%), która posłuży do przygotowania włoskich specjałów takich jak espresso, cappuccino czy latte macchiato. Kawa posiada niski poziom pobudzającej kofeiny.",23.75,"TRISMOKA",4,1," 80% Arabika, 20% Robusta"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Kakao",0.6,0.2,0.2,0.2," Brazylia Gwatemala Indie Kolumbia"," Blend / Mieszanki"," Cappuccino Espresso Kawa czarna Latte",NA,250,0.095,"Mid-range (0.05 - 0.1)",4
"Kawa ziarnista Trismoka Caffe Gourmet 100 250g","Trismoka Gourmet to włoska mieszanka ziaren arabiki pochodzących z Ameryki Południowej, Azji i Afryki. Kawa idealnie sprawdzi się jako espresso przygotowane w ekspresie kolbowym. Jej smakiem możemy się cieszyć o każdej porze dnia.",25.91,"TRISMOKA",5,6," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Czekolada Kakao",0.6,0.2,0.2,0.6," Brazylia Gwatemala Kolumbia Indie Tanzania"," Blend / Mieszanki"," Espresso Kawa czarna",NA,250,0.10364,"Premium (0.1 - 0.2)",12.2474487139159
"Kawa ziarnista Czarna Fala Rwanda Rushashi 250g","Jasno palona rwandyjska arabika jakości Speciality przeznaczona do przelewowych metod parzenia. Czarna Fala Rwanda Rushashi posiada słodki smak z wyczuwalną nutą jabłka, pomarańczy i landrynek.",59,"CZARNA FALA",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Jabłko Pomarańcze Landrynki",0.6,0.2,0.2,1," Rwanda"," Single / Jednorodne"," Kawa czarna",NA,250,0.236,"Luxury (> 0.2)",0
"Kawa ziarnista Czarna Fala Brazylia Fazenda Barinas 1kg","Średnio palona brazylijska arabika jakości Speciality, która jest przeznaczona do przygotowania espresso. Czarna Fala Brazylia Fazenda Barinas posiada słodki smak z wyczuwalną nutą czekolady, orzechów, lukrecji, anyżu i grejpfruta.",125,"CZARNA FALA",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Lukrecja Anyż Czerwony grejpfrut Czekolada",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna",NA,1000,0.125,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista Czarna Fala Brazylia Fazenda Barinas 250g","Średnio palona brazylijska arabika jakości Speciality, która jest przeznaczona do przygotowania espresso. Czarna Fala Brazylia Fazenda Barinas posiada słodki smak z wyczuwalną nutą czekolady, orzechów, lukrecji, anyżu i grejpfruta.",36,"CZARNA FALA",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Orzechy Anyż Czerwony grejpfrut Lukrecja Czekolada",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.144,"Premium (0.1 - 0.2)",5
"Kawa ziarnista KYOTO Kenia Kianyaga 250g","Jasno palona kenijska arabika jakości Speciality przeznaczona do alternatywnych metod parzenia. Kyoto Kenya Kianyaga posiada owocowy smak z wyczuwalną nutą jagód, malin i nektarynki.",65,"KYOTO",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Jagody Maliny Nektarynka",0.6,0.2,0.6,1," Kenia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.26,"Luxury (> 0.2)",5
"Kawa ziarnista KYOTO Mexico Finca El Olmo 250g","Jasno palona meksykańska arabika jakości Speciality przeznaczona do alternatywnych metod parzenia. Kyoto Mexico Finca El Olmo posiada słodki smak, w którym wyczujemy nuty śliwki, wiśni i rodzynek.",55,"KYOTO",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Śliwka Wiśnia Rodzynki",0.6,0.2,0.2,1," Meksyk"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista Momento Etiopia Adola 250g","Jasno palona etiopska arabika jakości Specialty, która jest przeznaczona do alternatywnych metod parzenia. Momento Etiopia Adola posiada wyraźnie słodki smak z nutami melona, jaśminu i guawy.",55,"MOMENTO COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Melon Jaśmin Guawa",0.6,0.2,0.2,1," Etiopia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista Momento Paraiso Farm Anaerobic 250g","Jasno palona brazylijska arabika Single Origin, która jest przeznaczona do przelewowych metod parzenia. Momento Paraiso Farm Anaerobic posiada słodki smak, w którym wyczujemy nuty mlecznej czekolady, maliny i cynamonu.",46,"MOMENTO COFFEE",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Maliny Mleczna czekolada Cynamon",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.184,"Premium (0.1 - 0.2)",5
"Kawa ziarnista Bazzara ESPRESSO BRAZIL YELLOW BOURBON 250g","Bazzara Espresso Brazil Yellow Bourbon to jednorodna arabika, której ziarna pochodzą z brazylijskich plantacji. Kawa ta posiada przyjemny słodki smak, w którym wyczujemy karmel, orzechy i ciemną czekoladę. Najlepiej sprawdzi się jako espresso.",46.99,"BAZZARA",4.79,14," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do biura Do domu Do ekspresu automatycznego Do ekspresu kolbowego"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Karmel Orzechy Ciemna czekolada",0.6,0.2,0.2,0.6," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.18796,"Premium (0.1 - 0.2)",17.9225388826472
"Kawa ziarnista Bazzara ESPRESSO INDIA MONSOONED MALABAR 250g","Bazzara India Monsooned Malabar to najwyższej jakości jednorodna arabika, której ziarna pochodzą z Indii. Kawa posiada intensywny smak, w którym możemy wyczuć słone oraz pikantne nuty przypraw. Bazzara India najlepiej sprawdzi się w formie espresso.",41.99,"BAZZARA",4.83,6," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego Do domu Do biura"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Przyprawy",1,0.6,0.2,0.2," Indie"," Single / Jednorodne"," Kawa czarna Espresso",NA,250,0.16796,"Premium (0.1 - 0.2)",11.8310354576427
"Kawa ziarnista Bazzara ESPRESSO SANTO DOMINGO WASHED AA 250g","Wysokiej jakości kawa z Dominikany o przyjemnych słodkich nutach łączących się z nutami prażonych zbóż, tytoniu i prażonych orzeszków ziemnych. Santo Domingo Washed AA ma idealną kremową konsystencję i wyjątkowe body. Skład: 100% Arabica",48.99,"BAZZARA",4.6,5," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do ekspresu automatycznego Do domu Do kawiarni Do biura"," 250g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Gęsta"," Orzechy Liść tytoniu Prażone zboża",0.6,0.2,0.2,1," Dominikana"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.19596,"Premium (0.1 - 0.2)",10.285912696499
"Kawa ziarnista Bazzara ESPRESSO GUATEMALA WASHED SHB 250g","Wysokiej jakości jednorodna arabika pochodząca z Gwatemali. Kawa charakteryzuje się przyjemną kwasowością, słodyczą i wyczuwalną nutą czekoladową. Skład: 100% Arabica",42.99,"BAZZARA",5,8," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Włochy"," Do ekspresu kolbowego Do kawiarni Do ekspresu automatycznego"," 250g"," Ekspres automatyczny Ekspres kolbowy French Press Kawiarka Tradycyjny Ekspres przelewowy"," Gęsta"," Czekolada",0.6,0.2,0.6,0.6," Gwatemala"," Single / Jednorodne"," Espresso Kawa czarna",NA,250,0.17196,"Premium (0.1 - 0.2)",14.142135623731
"Kawa ziarnista Wysocki Coffee Papua-Nowa Gwinea The Kimmel Plantation 250g","Jasno palona arabika z Papui-Nowej Gwinei, która jest przeznaczona do przelewowych metod parzenia. Jest to kawa o doskonale zrównoważonym smaku, w którym słodycz łączy się z kwasowością.",46,"WYSOCKI COFFEE",4.89,9," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Cukier trzcinowy Wiśnia Czarna porzeczka",0.6,0.2,0.6,0.6," Papua-Nowa Gwinea"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.184,"Premium (0.1 - 0.2)",14.67
"Kawa ziarnista Wysocki Coffee Rwanda Rushashi Peaberry 250g","Jasno palona arabika Single Origin z Rwandy, która jest przeznaczona do przelewowych metod parzenia. Wysocki Coffee Rwanda Rushashi Peaberry posiada przyjemnie słodki smak z wyczuwalnymi nutami owoców.",52,"WYSOCKI COFFEE",4.83,12," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Maliny Miód Jagody",1,0.2,0.6,1," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.208,"Luxury (> 0.2)",16.7316108011154
"Kawa ziarnista Wysocki Coffee Barista Edition 1kg","Średnio palona mieszanka arabiki z Brazylii i Gwatemali, która jest przeznaczona do ciśnieniowych metod parzenia. Wysocki Coffee Barista Edition posiada bogaty smak, w którym dominuje wyjątkowa słodycz.",119,"WYSOCKI COFFEE",4.88,8," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Migdały Melasa Syrop klonowy Skórka pomarańczy Orzechy",0.6,0.2,0.2,1," Brazylia Gwatemala"," Single / Jednorodne"," Espresso Kawa czarna",NA,1000,0.119,"Premium (0.1 - 0.2)",13.8027243687614
"Kawa ziarnista Wysocki Coffee Barista Edition 500g","Średnio palona mieszanka arabiki z Brazylii i Gwatemali, która jest przeznaczona do ciśnieniowych metod parzenia. Wysocki Coffee Barista Edition posiada bogaty smak, w którym dominuje wyjątkowa słodycz.",59.99,"WYSOCKI COFFEE",4.85,13," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 500g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Migdały Melasa Syrop klonowy Skórka pomarańczy Orzechy",0.6,0.2,0.2,1," Brazylia Gwatemala"," Blend / Mieszanki"," Espresso Kawa czarna",NA,500,0.11998,"Premium (0.1 - 0.2)",17.4869236860003
"Kawa ziarnista Wysocki Coffee Brazylia Fazenda Londrina 250g","Jasno palona brazylijska arabika Single Origin, która jest przeznaczona do przelewowych metod parzenia kawy. Brazylia Fazenda Londrina posiada przyjemnie słodki smak, w którym wyczujemy nuty czekolady, czereśni i żółtych owoców.",45,"WYSOCKI COFFEE",4.91,23," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista",NA,NA," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Pomarańcze Czereśnie Żółte owoce",0.6,0.2,0.6,1," Brazylia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.18,"Premium (0.1 - 0.2)",23.5475327794655
